source,target,weight,annee,mois,commentaire
PARIS ST LAZARE,LE HAVRE,80.4,2016,5,
TOURS,PARIS AUSTERLITZ,83.7,2016,5,
BORDEAUX ST JEAN,NICE,73.1,2016,6,
BOULOGNE,PARIS NORD,79.2,2016,6,
CAEN,TOURS,92.0,2016,6,
CERBERE,PARIS AUSTERLITZ,85.7,2016,6,
CHERBOURG,PARIS ST LAZARE,75.2,2016,6,
PARIS AUSTERLITZ,BOURGES,86.0,2016,6,
PARIS BERCY,CLERMONT FERRAND,70.1,2016,6,
PARIS VAUGIRARD,GRANVILLE,62.4,2016,6,
ROUEN,PARIS ST LAZARE,86.7,2016,6,
TOURS,PARIS AUSTERLITZ,62.2,2016,6,
TOULOUSE MATABIAU,HENDAYE,93.1,2015,3,
PARIS VAUGIRARD,GRANVILLE,93.3,2015,3,
BORDEAUX ST JEAN,NANTES,88.4,2015,4,
CERBERE,PARIS AUSTERLITZ,91.3,2015,4,
BORDEAUX ST JEAN,NICE,81.8,2015,4,
GRANVILLE,PARIS VAUGIRARD,96.4,2015,3,
GRANVILLE,PARIS VAUGIRARD,95.5,2015,4,
NANTES,LYON PART DIEU,92.3,2015,11,
NEVERS,PARIS BERCY,85.2,2015,11,
ORLÉANS,PARIS AUSTERLITZ,71.9,2015,11,
PARIS ST LAZARE,CAEN,79.9,2015,11,
ROUEN,PARIS ST LAZARE,93.5,2015,11,
TOULOUSE MATABIAU,HENDAYE,97.0,2015,11,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,84.6,2015,11,
TROYES,PARIS EST,81.8,2015,11,
BELFORT,PARIS EST,91.7,2015,12,
BOULOGNE,PARIS NORD,89.2,2015,12,
LE HAVRE,PARIS ST LAZARE,93.1,2015,12,
NEVERS,PARIS BERCY,87.9,2015,12,
NÎMES,CLERMONT FERRAND,92.3,2015,12,
ORLÉANS,PARIS AUSTERLITZ,88.1,2015,12,
PARIS ST LAZARE,CHERBOURG,89.8,2015,12,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,82.7,2015,12,
CERBERE,PARIS AUSTERLITZ,93.4,2016,1,
NÎMES,CLERMONT FERRAND,93.5,2016,1,
ORLÉANS,PARIS AUSTERLITZ,82.7,2016,1,
PARIS AUSTERLITZ,ORLÉANS,84.9,2016,1,
PARIS BERCY,CLERMONT FERRAND,91.7,2016,1,
PARIS ST LAZARE,ROUEN,87.5,2016,1,
BÉZIERS,CLERMONT FERRAND,93.1,2016,2,
BORDEAUX ST JEAN,NICE,82.5,2016,2,
BORDEAUX ST JEAN,LIMOGES,86.2,2016,2,
BORDEAUX ST JEAN,NANTES,67.9,2016,2,
CHERBOURG,PARIS ST LAZARE,93.9,2016,2,
GRANVILLE,PARIS VAUGIRARD,95.3,2016,2,
NANTES,BORDEAUX ST JEAN,76.4,2016,2,
ORLÉANS,PARIS AUSTERLITZ,87.4,2016,2,
PARIS EST,TROYES,88.0,2016,2,
PARIS NORD,BOULOGNE,90.1,2016,2,
PARIS ST LAZARE,ROUEN,93.2,2016,2,
PARIS VAUGIRARD,GRANVILLE,90.8,2016,2,
TOURS,CAEN,86.2,2016,2,
BORDEAUX ST JEAN,LIMOGES,88.9,2016,3,
CAEN,PARIS ST LAZARE,89.4,2016,3,
